"year","obs","ghg","nat","aer"
1980,0.196,0.71209716796875,-0.0113525390625,-0.64776611328125
1981,0.25,0.759063720703125,0.000335693359375,-0.63983154296875
1982,0.034,0.7955322265625,-0.064300537109375,-0.6448974609375
1983,0.224,0.84063720703125,-0.164947509765625,-0.653411865234375
1984,0.048,0.863555908203125,-0.151580810546875,-0.635650634765625
1985,0.05,0.891998291015625,-0.117523193359375,-0.647857666015625
1986,0.096,0.908935546875,-0.121856689453125,-0.67779541015625
1987,0.243,0.94769287109375,-0.106964111328125,-0.66046142578125
1988,0.282,0.942230224609375,-0.08099365234375,-0.641143798828125
1989,0.179,0.984466552734375,-0.037322998046875,-0.6912841796875
1990,0.361,1.01797485351562,-0.037567138671875,-0.69390869140625
1991,0.339,1.04901123046875,-0.089752197265625,-0.6666259765625
1992,0.125,1.07247924804688,-0.286041259765625,-0.6787109375
1993,0.166,1.08245849609375,-0.261138916015625,-0.680206298828125
1994,0.234,1.102783203125,-0.19757080078125,-0.692474365234375
1995,0.377,1.14462280273438,-0.168182373046875,-0.693572998046875
1996,0.277,1.15313720703125,-0.13409423828125,-0.69757080078125
1997,0.422,1.18109130859375,-0.11895751953125,-0.6922607421875
1998,0.577,1.16534423828125,-0.086700439453125,-0.699249267578125
1999,0.324,1.20193481445312,-0.069732666015625,-0.6790771484375
2000,0.331,1.21649169921875,-0.039215087890625,-0.640411376953125
2001,0.489,1.24267578125,-0.037139892578125,-0.61529541015625
2002,0.543,1.2735595703125,-0.0350341796875,-0.64117431640625
2003,0.544,1.32156372070312,-0.037689208984375,-0.652252197265625
2004,0.467,1.34423828125,-0.0350341796875,-0.66278076171875
2005,0.607,1.3485107421875,-0.0491943359375,-0.661651611328125
2006,0.573,1.36480712890625,-0.042938232421875,-0.6416015625
2007,0.592,1.37557983398438,-0.045806884765625,-0.662445068359375
2008,0.466,1.37570190429688,-0.03594970703125,-0.682830810546875
2009,0.597,1.39993286132812,-0.0439453125,-0.6678466796875
2010,0.68,1.42095947265625,-0.033721923828125,-0.68359375
2011,0.538,1.4561767578125,-0.0538330078125,-0.675140380859375
2012,0.578,1.48800659179688,-0.05279541015625,-0.65679931640625
2013,0.624,1.52484130859375,-0.011016845703125,-0.658538818359375
2014,0.673,1.52523803710938,0.0069580078125,-0.67413330078125
